date,title,symptom_tags,text,recommended_action,risk_tags
2018-07-13,Diffuse beam spot after quad_2 drift,diffuse beam;quad_2;halo,Beam spot became diffuse after quad_2 drift during warm injector shift. Increasing quad_2 worsened halo. Operators restored quad_2 baseline and checked RF phase readback. Beam recovered after RF correction,Do not increase quad_2 until RF phase readback is verified. Take a calibration screen if uncertainty remains high,quad_conflict;rf_phase_check;halo
2019-02-04,RF phase drift readback mismatch,rf phase;readback;energy,Virtual diagnostic predicted stable beam but RF phase readback lagged the commanded phase after cavity warmup. Small phase correction recovered current,Verify RF phase readback and make small correcting steps only after checking the cavity monitor,rf_phase_check;calibration_required
2020-06-18,High charge halo during injector tune,high charge;halo;diffuse beam,High charge setting produced a visible halo ring on the OTR screen. Quad scans made the halo worse until charge was lowered,Reduce charge proxy or request screen calibration before aggressive focusing,halo;charge_risk
2021-03-22,Injector warmup drift moved quad optimum,warmup;drift;quad_1,During warmup the best quad_1 and quad_2 settings shifted slowly over twenty minutes. Old model predictions were optimistic,Request a calibration screen after warmup drift before applying optimizer suggestions,calibration_required;model_drift
2021-11-08,Model uncertainty after maintenance,maintenance;uncertainty;calibration,After vacuum maintenance the injector response changed. The model underpredicted beam size until a fresh calibration screen was taken,Block autonomous writes until calibration data is added,calibration_required;model_drift
2017-05-03,BPM noise during low current,bpm noise;low current;readback,BPM readings jumped while current proxy was low. Operators ignored single BPM spikes and relied on screen confirmation,Request confirmation measurement if BPM noise and diagnostic uncertainty are both elevated,bpm_noise;calibration_required
2017-10-12,Screen calibration issue after camera swap,screen calibration;camera;beam size,Camera swap changed apparent beam size by about fifteen percent. Virtual diagnostic appeared wrong until screen scaling was updated,Take calibration screen and update screen scale before trusting size estimates,calibration_required;screen_issue
2022-01-28,Steering magnet saturation warning,steering;saturation;off axis,Steering magnet approached saturation while correcting an off axis beam. Further steer_x increase had little effect and raised loss,Require operator review before larger steering correction,steering_saturation;beam_loss
2022-04-19,Vacuum warning near diagnostic section,vacuum;beam loss;screen,Vacuum warning appeared near diagnostic section after a lossy tune. Operators backed out quadrupole and RF amplitude changes,Block risky settings until vacuum warning clears,hardware_warning;beam_loss
2020-09-15,Bad calibration readback created false confidence,calibration;readback;uncertainty,A stale calibration readback made the model look green while screen image was clipped. Operators repeated calibration and flagged the run,Repeat calibration when readback metadata is stale,calibration_required;screen_issue
2016-12-01,OTR screen insertion issue,otr screen;screen;mechanical,Screen insertion produced inconsistent intensity and false halo labels. Operators repeated the insertion and compared BPM stability,Do not use single screen image if insertion status is uncertain,screen_issue;calibration_required
2018-09-05,High beam loss after aggressive quadrupole tuning,quad_1;quad_2;beam loss,A large simultaneous quad_1 and quad_2 move improved predicted size but caused measured beam loss. Operators reverted to smaller steps,Clip quadrupole moves and require approval for aggressive focusing,quad_conflict;beam_loss
2023-05-17,Cavity amplitude readback mismatch,rf amplitude;readback;energy,RF amplitude command and readback diverged after a cavity interlock reset. Beam current fell despite good model prediction,Verify amplitude readback before applying RF amplitude change,rf_amplitude_check;calibration_required
2019-08-30,Hysteresis in magnet current,magnet hysteresis;quad_2;history,Quad_2 response depended on previous current direction. Returning to the same setpoint did not restore the same beam spot,Use smaller approach-from-below steps and request human review for quad_2 reversal,quad_conflict;hysteresis
2024-01-10,Maintenance changed machine response,maintenance;drift;uncertainty,After injector maintenance the old twin overestimated quality in the same PV region. Calibration restored agreement,Request calibration after maintenance before autonomous writes,calibration_required;model_drift
2015-06-23,Night shift recovery from diffuse beam,diffuse beam;rf phase;quad_2,Night shift recovered diffuse beam by checking RF phase before touching quad_2. Increasing quad_2 first made the halo worse,Check RF phase and take a screen before increasing quad_2,quad_conflict;rf_phase_check;halo
2022-10-02,Operator warning on quad_2 increase,operator warning;quad_2;halo,Operators noted not to increase quad_2 when halo and RF readback drift appear together. The safer move was RF correction,Require human review for quad_2 increase in halo state,quad_conflict;rf_phase_check;halo
